CustomerID,ReturnDate,ReturnSales,OrderID
DEIST52980,20150530,$432.00 ,0524509WBYF 
DEIST52980,20151128,"$4,642.92 ",0524509WBYF 
DEJAS13634,20151116,"$1,808.31 ",04175R2LTSM 
DEJEA74687,20150401,$924.35 ,03215H6EHMM 
DEJEJ26018,20150521,"$2,947.85 ",04295N2PQTG 
DEJEL89729,20150408,"$1,307.04 ",04035C9IDYK 
DEJEM26389,20150514,$117.53 ,05135G3TFYU 
DEJES110  ,20151218,"$1,166.30 ",03065L3ZJWM 
DEJES110  ,20151218,$332.64 ,03065L3ZJWM 
DEJOL94396,20150406,"$1,275.14 ",02285C1XZMH 
DELAA75741,20150117,"$2,176.41 ",01035I7JDAXA
DELAB32583,20150225,$269.84 ,02165G2UIZV 
DELAD20966,20150607,$179.95 ,05245D2WHCZ 
DELAF49691,20150908,$409.81 ,05225E9VLMO 
DENAR67395,20150131,$95.40 ,01045P6JLWS 
DENEA74788,20150109,"$1,007.00 ",01075P1KFKI 
DENED35602,20150528,"$1,635.07 ",05255R4WNBH 
DENID75797,20150523,$641.57 ,05165J1TUAA 
DENIM52357,20160419,$158.95 ,03025K8YPHS 
DENIT81297,20150330,$0.00 ,03275E5FZTE 
DENIT81297,20150328,$267.45 ,03275E5FZTE 
DENIV69886,20150529,$0.00 ,03195C4DQDU 
DENNB41997,20150801,"$1,231.07 ",02225K7WHPR 
DENNJ81480,20160330,$657.69 ,04045M3IJAZ 
DENNN11367,20150502,$898.33 ,03215I9EJEJ 
DENNT73773,20150502,"$1,128.61 ",03215I1ECZC 
DERRB61092,20151107,$80.20 ,03175N2CYSN 
DERRD46894,20151203,$754.35 ,03075N1ZQGHB
DERRD46894,20151203,"$1,633.89 ",03075N1ZQGH 
DERRJ12377,20151005,$705.51 ,04285H7PJTP 
DERRO40902,20150121,$898.80 ,11254E1YBCP 
DERUA29920,20150418,"$2,915.84 ",0215503TYJP 
DERUA29920,20150418,$243.00 ,0215503TYJP 
DESA102   ,20150313,$215.33 ,03085J2ADXV 
DESA102   ,20150313,$237.05 ,03085J2ADXVA
DESAA72290,20150125,$776.97 ,01015RVIKBW 
DESAB83750,20150417,$159.32 ,03295M3GNPB 
DESAD86913,20150123,"$2,794.79 ",01145E1MCTH 
DESAH10108,20150419,$84.89 ,04195M4MCXY 
DESAH10108,20150525,$58.38 ,04195M4MCXY 
DESAK24638,20150525,$230.05 ,04255E3OLVMC
DESAK24638,20150525,$230.05 ,04255E3OLVMC
DESAK42361,20150630,$174.48 ,011750TMWBG 
DESAL17737,20150429,$53.45 ,04225N1MVUU 
DESAL17737,20150511,$571.38 ,04225N1MVUU 
DESAM45399,20150410,"$2,026.72 ",03125K3BJGO 
DESAM54652,20150414,$171.72 ,03205L4DXKK 
DESCD84115,20150117,$217.71 ,011150MLHHN 
DESCM47362,20150323,$32.54 ,03175W2CVUR 
DESED38570,20150525,$0.00 ,05125EVSVCAA
DELOD62922,20150828,"$1,899.72 ",030850GACVC 
DELVM37916,20150404,$195.98 ,02195H2VLPU 
DELYM42132,20150310,$64.97 ,02225E4WHYR 
DEMAA19240,20151010,$554.34 ,04245G5NGPM 
DEMAA46709,20150323,$526.90 ,03065H2ZLZW 
DEMAD11952,20151104,"$3,261.20 ",12214E6FSCQ 
DEMAF18738,20150314,"$1,402.31 ",02075G2RTYA 
DEMAJ23888,20150227,$755.98 ,02115I4SUNB 
DEMAJ23888,20150227,$708.72 ,02115I4SUNBA
DEMAJ51636,20150307,"$1,272.75 ",03025E3YKND 
DEMAM87699,20160419,"$1,038.11 ",01285E2PLNR 
DEMAT72575,20150307,$147.68 ,02125I1TCXA 
DEMAV90422,20150129,$977.00 ,01185D1NERV 
DEMAV90422,20150129,"$3,742.00 ",01185D1NERV 
DENTH26957,20150502,$63.07 ,04265KVOZXA 
DENTJ98739,20150418,$628.94 ,01015I1IMPV 
DENTS82869,20150410,$971.95 ,01105K5LASG 
DEPAR88962,20150206,$992.96 ,01175L4MSDI 
DEPAV95971,20150922,$516.19 ,04105H5JSYA 
DEPER33337,20150519,$235.35 ,05115E3STNF 
DEPIL79423,20150610,"$1,978.43 ",05165E9TUCX 
DESHR16048,20150604,$219.68 ,04195N5MHBH 
DESID48896,20150317,"$3,945.09 ",02285N1XYJX 
DESIE80460,20150922,$685.90 ,05255H5WTUR 
DESIJ21449,20160712,$576.09 ,04265H4OVMQ 
DESIJ94577,20160527,$742.74 ,01215M4OAET 
DESIN17361,20150213,$160.45 ,02075N1RZOW 
DESIR17988,20150316,$861.44 ,03135CVBPOE 
DESIW34019,20150518,$335.60 ,05105I3SMLM 
DESNJ73770,20150109,$509.99 ,01025M3IRRO 
DESNJ73770,20150219,$855.31 ,02075M3RSQI 
DESOM40194,20150427,"$1,927.80 ",0421503MPKC 
DESON50236,20150723,$872.79 ,05225H6VPIZ 
DESOP80525,20150607,"$1,197.54 ",04255E1NYLJ 
DESOR26015,20150509,"$3,086.77 ",02235A1WLWD 
DESOR74339,20150411,$243.00 ,0321502EFSG 
DESRR76216,20150121,$846.94 ,10184L1LNXM 
DEWIJ38120,20150520,$489.20 ,05095C6SIRE 
DEXTM89635,20150409,"$1,194.82 ",01175H5MVQC 
DEYCS22540,20150506,$108.82 ,04255H7OAYF 
DEYHM93157,20150304,$747.93 ,01195E2NNMV 
DEYNN456Z1,20150519,$116.60 ,05165K5TTCJ 
DEYSJ17837,20150520,$159.00 ,04225K9MWOZ 
DHALK89371,20150601,$995.52 ,05225I8VOUC 
DHAMS65437,20150212,"$1,068.93 ",02075E5RXSU 
DHAMS65437,20150212,$363.74 ,02075E5RXSU 
DHAMT48033,20150311,$114.48 ,02285K4XUPP 
DHANC16530,20160301,"$3,865.01 ",02045G5RFWL 
DHANC16530,20160325,$0.00 ,02045G5RFWL 
DHANC16530,20160311,"$2,324.83 ",02045G5RFWL 
DHANJ97824,20150515,$130.42 ,04245H5NRJL 
DHARV96973,20150529,$163.66 ,05255N5WPUC 
DIAKD70618,20150401,"$2,718.90 ",03185P1DFCT 
DIAKT40586,20150515,"$1,482.93 ",051250JSZRL 
DIALB47573,20150107,"$4,214.55 ",11284G3YZIE 
DIALF76584,20150122,"$1,088.75 ",01035G3JHBU 
DIALF76584,20160907,$705.66 ,01215G3NZEN 
DIALM38603,20150319,$718.52 ,02205G3VRBV 
DIALM39591,20150203,$753.15 ,12294N1HSHD 
DIALO60820,20150601,$299.49 ,04105E5JTPQ 
DICAP11327,20150417,$59.87 ,04145I4KYZR 
DICEE15742,20150309,$106.95 ,02045F3RBGH 
DICI90W   ,20150425,$266.71 ,04095R3JOHM 
DICKJ52092,20160226,$86.00 ,04085R2JHJB 
DICKJ80029,20160409,$979.88 ,03255I6FNXC 
DICKL90697,20160611,$782.83 ,04045G1IJKI 
DICOR73594,20150130,"$5,025.79 ",01025M5IQEU 
DICRC77446,20150331,$339.20 ,03235L4EVQX 
DIDAG33183,20150420,$121.90 ,04185L2MBJI 
DIDIM86619,20150411,$160.50 ,04075E1IXHK 
DIDIR48809,20160411,$329.13 ,02285I4XXVY 
DILEM70884,20150202,$104.94 ,01145W2MCWJ 
DILEM83101,20150417,"$1,603.93 ",03155W2CNKH 
DILIT17105,20150812,$410.02 ,02055R3RJLP 
DILLB90476,20150713,$0.00 ,04255C8OHGD 
DILLB90476,20150715,$812.05 ,04255C8OHGD 
DILLH19491,20150314,$665.58 ,020750ERXCL 
DILOA53515,20150404,$849.28 ,03045G4YYXY 
DILUR73345,20150509,$138.37 ,04185L3LVEA 
DIMAA35047,20150407,"$1,336.43 ",02165E9URXM 
DIOSH83494,20150725,$346.37 ,02125C4TDFW 
DIOUA99922,20150427,"$3,910.85 ",04205M4MLLV 
DIPAE56589,20150403,$466.57 ,03075M5ZUTH 
DIPAE56589,20150408,$466.57 ,03075M5ZUTH 
DIPAK52482,20150228,$146.21 ,02155H8UCFR 
DIPI737   ,20150316,$162.00 ,0311503BCBW 
DIPID52371,20150501,"$1,167.98 ",030250JYPJC 
DIPIJ21377,20150722,$132.09 ,05205C1VBEM 
DIPOD50796,20150525,$59.88 ,04255E3NVQT 
DIRIC73625,20150829,$713.38 ,01185M3NCDB 
DIRIC73625,20150829,$741.18 ,01185M3NCDBA
DIROA63258,20150123,"$1,419.00 ",08044H3QFSPA
DOBOB28399,20150403,"$2,037.98 ",02145K4TSSL 
DOBSS74036,20150415,"$1,254.24 ",03215H5EEHY 
DOBST25742,20150506,$175.43 ,04265I1PCAZ 
DOBUR13071,20150422,$365.44 ,04085I4JIDY 
DOCKB61315,20150506,$949.32 ,03105R3AXFL 
DOCKM89770,20150324,$625.90 ,03175E5DAJP 
DOD9P61335,20150127,"$3,536.80 ",01225R2OGFX 
DODDJ68338,20150328,$94.34 ,03235K4EXNV 
DODDR46943,20150501,$679.96 ,04265M4ONXJ 
DODGM75494,20150210,$708.24 ,01035I9JBVS 
DODLJ90231,20150206,$289.81 ,01175K8MYNW 
DOEBP12209,20150527,"$2,968.18 ",04155P4LHDK 
DOEGR48115,20150724,$801.43 ,02285M6XUQW 
DOELM75692,20150402,$0.00 ,03225L2EMPM 
DOELM75692,20150406,"$1,482.94 ",03225L2EMPM 
DOELM75692,20150410,$132.50 ,04065L2ISKK 
DOERG907Z9,20150508,$406.79 ,03185C2DGVO 
DOGGB32436,20150309,$705.51 ,02165I7UIKH 
DOMIA49172,20150316,"$1,229.43 ",02285E5XZQI 
DOMIC53639,20150407,"$1,492.48 ",04015L4HPNL 
DOMID12149,20150610,$582.99 ,04155G3LGVU 
DOMID83260,20150129,$189.18 ,01175W2MRFY 
DOMIH98555,20150515,$263.84 ,04115F2KIRB 
DOMIJ20194,20150128,$130.65 ,01135G2LVNO 
DOMIJ48352,20150323,$370.18 ,02285G2XVSL 
DOMIT69281,20150304,"$2,444.99 ",01045C8JIZW 
DONAA35494,20150219,"$1,440.62 ",0217508UVBS 
DONAA40149,20160403,"$1,166.63 ",04195I9MGUQ 
DONAA40149,20150425,"$1,166.63 ",02215I9VZTJ 
DONAA72387,20150105,$84.75 ,01015L4IKPQ 
DONAA95697,20150922,"$1,238.85 ",03085H3AGCT 
DONAC36633,20150428,$742.74 ,04115N2KADP 
DONAF84437,20150411,$582.80 ,03305W2GZBK 
DONAJ11448,20160406,"$1,555.20 ",01305R4PZDX 
DONAJ56585,20150407,"$1,085.11 ",03075H5ZUVT 
DESED38570,20150525,$0.00 ,05125EVSVCA 
DESED38570,20150525,$0.00 ,05125EVSVCAA
DESED38570,20150525,$0.00 ,05125EVSVCA 
DESED38570,20150609,$97.35 ,05125EVSVCAA
DESED38570,20150609,"$1,837.14 ",05125EVSVCA 
DEVIA22087,20150302,"$2,859.85 ",02085T1SHHD 
DEVIA74971,20150401,$129.60 ,03175L3CWLP 
DEVIA74971,20150415,$129.60 ,03175L3CWLP 
DEVID79146,20150511,$317.89 ,05075K7RQUO 
DEVIE13134,20150505,$240.75 ,04175M5LPUU 
DEVIE13134,20150512,"$1,382.44 ",04305M5PWCW 
DEVIJ21604,20151024,"$1,361.29 ",12264PVGRQM 
DEVIJ50338,20150610,$107.29 ,05225E4VPTO 
DEVIJ75231,20150310,$760.32 ,01315L3QEKT 
DEVIP18289,20150915,$149.75 ,04225E1MZRZ 
DEVLE46892,20150220,$96.30 ,021250CTDKC 
DEVLM92356,20160105,"$1,441.80 ",04065R4ISRZ 
DEVLT80201,20150507,$792.96 ,03265I4FPVO 
DEVLW40978,20160606,$978.24 ,05135C5TDFA 
DEVLW40978,20160609,$978.24 ,05135C5TDFA 
DEVOE90081,20150518,$269.95 ,04045L3IGCG 
DEVOJ58370,20150518,$161.95 ,04065L3IQGX 
DIAZS27848,20150829,"$1,245.53 ",03295I7GOPU 
DIAZS44850,20150603,$984.40 ,03225E8EMKS 
DIAZY60301,20150617,$298.54 ,04175G5LTEW 
DIAZY60301,20150617,$495.33 ,04125G5KNZY 
DIBAD73777,20150324,"$1,089.72 ",021650LUIUE 
DIBAE30388,20150323,$89.71 ,031650TCOEG 
DIBRM90333,20150421,$273.41 ,04155L3LCHE 
DICAA18ZZ7,20150103,$79.50 ,12214K8FVQQ 
DICAJ45445,20150131,$647.82 ,01105K4KZWL 
DICAM38883,20150530,$646.92 ,051050CSMNG 
DIFRI82041,20150114,$294.22 ,01105L1KVIH 
DIGAC45378,20150311,$175.94 ,02255G5XCWU 
DIGEL45771,20150228,"$1,054.94 ",02045H6REAV 
DIGGB79909,20150328,$96.29 ,032150CDYUG 
DIGIE12739,20150401,$384.68 ,03045E4YZLI 
DIGIG55525,20150509,$531.70 ,05055C2RGZV 
DIGIL91352,20150821,$621.22 ,01185R4NDKW 
DIGIN87355,20150825,"$1,843.02 ",03285E9GDNV 
DIGIV93365,20160414,$901.00 ,01225P6OGTU 
DIGIV93365,20160414,$763.20 ,01225P6OGTU 
DIGRC77707,20150307,"$1,594.19 ",01045C8JMIX 
DIIEK59860,20150428,$107.00 ,03275N3FWXT 
DIJUJ83385,20150616,$108.00 ,05285R2XLAQ 
DINAT67843,20150505,"$1,338.07 ",04225H3MYXJ 
DINGE11086,20150616,"$1,586.52 ",02125K6TGBV 
DINGJ63597,20150330,$124.61 ,03215K9EBUS 
DINGJ63597,20150416,$124.61 ,03285K9GBLP 
DINGJ63597,20150416,$47.70 ,03215K9EBUS 
DINGR26919,20150520,$97.82 ,050950JSDSR 
DINIA66911,20150324,$247.00 ,03155D1CHBF 
DININ21124,20150319,$0.00 ,03075C5ZSOL 
DININ94558,20150223,$162.66 ,02155C2UBTKA
DININ94558,20150223,$162.66 ,02155C2UBTKA
DINKR31439,20150331,$543.13 ,02195H5VIGC 
DINMO29060,20150218,"$3,185.68 ",02155I8UCEI 
DINNS35544,20150220,$212.39 ,02175M6UVLX 
DINNS35544,20150226,$212.39 ,02205M6VRBK 
DINOD65725,20160223,"$1,077.86 ",03145H3CATN 
DINOM64252,20150318,$141.72 ,03135C4BRPW 
DINOV59022,20150714,"$4,461.75 ",04285L2PNKG 
DINOV59022,20150714,"$2,076.45 ",05085L2RXLN 
DINSM636Z9,20150122,"$2,158.92 ",01105R3LDGI 
DINUD65626,20160811,"$2,019.59 ",03255C4FHKD 
DIOGG80663,20150327,"$3,321.97 ",01255I9OZVO 
DIONJ73369,20150403,"$1,700.00 ",03215M3EDIU 
